시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도 동해시 쇄운동,1100,1100,0,아름다운아침,39.08,202201,3,"5,750",10,2012,효자로 572-1,,중개거래,강원 동해시
강원도 동해시 쇄운동,1100,1100,0,아름다운아침,39.08,202201,9,"5,600",6,2012,효자로 572-1,,중개거래,강원 동해시
강원도 동해시 이도동,155,155,0,이도1주공,49.62,202201,3,"6,300",11,1999,이원길 180-2,,중개거래,강원 동해시
강원도 동해시 이도동,155,155,0,이도1주공,49.62,202201,6,"6,400",15,1999,이원길 180-2,,중개거래,강원 동해시
강원도 동해시 이도동,154,154,0,이도2주공,59.39,202201,6,"8,500",4,1999,이원길 180-2,,중개거래,강원 동해시
강원도 동해시 천곡동,788,788,0,이안동해센트럴,59.9449,202201,3,"22,000",11,2021,천곡로 5,,중개거래,강원 동해시
강원도 동해시 천곡동,1080,1080,0,천곡주공1차,43.97,202201,5,"6,000",4,1983,천곡로 20,,중개거래,강원 동해시
강원도 동해시 천곡동,306,306,0,천곡주공3차,49.22,202201,4,"5,000",5,1985,동굴로 61-19,,중개거래,강원 동해시
강원도 동해시 천곡동,415,415,0,천곡주공4차,39.69,202201,3,"6,700",4,1989,샘실1길 5,,중개거래,강원 동해시
강원도 동해시 천곡동,415,415,0,천곡주공4차,39.99,202201,6,"5,400",1,1989,샘실1길 5,,중개거래,강원 동해시
강원도 동해시 천곡동,415,415,0,천곡주공4차,39.99,202201,11,"7,100",4,1989,샘실1길 5,,중개거래,강원 동해시
강원도 동해시 천곡동,794,794,0,한양2차,84.855,202201,11,"13,000",15,1991,천곡로 15,,중개거래,강원 강릉시
강원도 동해시 평릉동,456,456,0,코아루디오션,84.9788,202201,11,"29,000",4,2014,평원로 100,,중개거래,강원 동해시
강원도 동해시 효가동,481,481,0,동아더프라임2단지,59.9798,202201,12,"13,900",13,2013,양지길 20-1,,직거래,-
강원도 삼척시 마달동,Apr-53,53,4,누가,27.18,202201,4,"2,250",3,1995,마달1길 75,,직거래,-
강원도 삼척시 마달동,Apr-53,53,4,누가,27.18,202201,11,"1,700",6,1995,마달1길 75,,직거래,-
강원도 삼척시 원당동,173,173,0,삼척원당장기임대,47.31,202201,11,"4,000",5,1992,원당로2길 20,,중개거래,강원 삼척시
강원도 삼척시 원당동,122-3,122,3,원당현대,59.815,202201,5,"9,500",9,1998,오십천로 301-30,,중개거래,강원 삼척시
강원도 삼척시 원당동,117,117,0,한양,84.54,202201,3,"9,000",4,1991,오십천로 295-7,,직거래,-
강원도 삼척시 정상동,457-3,457,3,석미,56.97,202201,7,"7,300",14,1998,청석로 78,,직거래,-
강원도 삼척시 정상동,457-1,457,1,청솔1차,59.85,202201,12,"8,200",5,2002,청석로 64,,중개거래,강원 삼척시
